severity,category,node,title,current,required,remediation,hops_from_change,propagation_path,locations,detail,other_usages
CRITICAL,host-variable,var:CSACCTUPD::CS-CUST-BALANCE,CS-CUST-BALANCE is too small for the widened value,05 CS-CUST-BALANCE PIC S9(9)V99 COMP-3,signed numeric(11.2),Change to: 05 CS-CUST-BALANCE PIC S9(11)V9(2) COMP-3.,1,CSS_CUSTOMER.CUST_BALANCE -> CSACCTUPD::CS-CUST-BALANCE,examples/css/src/csacctupd.pco:27; examples/css/copybooks/CSCUST.cpy:14,"Reached through a sql-fetch edge at examples/css/src/csacctupd.pco:27. Current PIC holds signed numeric(9.2), but signed numeric(11.2) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,host-variable,var:CSACCTUPD::CS-CUST-NAME,CS-CUST-NAME is too small for the widened value,05 CS-CUST-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 05 CS-CUST-NAME PIC X(40).,1,CSS_CUSTOMER.CUST_NAME -> CSACCTUPD::CS-CUST-NAME,examples/css/src/csacctupd.pco:27; examples/css/copybooks/CSCUST.cpy:7,"Reached through a sql-fetch edge at examples/css/src/csacctupd.pco:27. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,host-variable,var:CSBILLCYC::CS-CUST-BALANCE,CS-CUST-BALANCE is too small for the widened value,05 CS-CUST-BALANCE PIC S9(9)V99 COMP-3,signed numeric(11.2),Change to: 05 CS-CUST-BALANCE PIC S9(11)V9(2) COMP-3.,1,CSS_CUSTOMER.CUST_BALANCE -> CSBILLCYC::CS-CUST-BALANCE,examples/css/src/csbillcyc.pco:42; examples/css/copybooks/CSCUST.cpy:14,"Reached through a sql-fetch edge at examples/css/src/csbillcyc.pco:42. Current PIC holds signed numeric(9.2), but signed numeric(11.2) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,host-variable,var:CSBILLCYC::CS-CUST-NAME,CS-CUST-NAME is too small for the widened value,05 CS-CUST-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 05 CS-CUST-NAME PIC X(40).,1,CSS_CUSTOMER.CUST_NAME -> CSBILLCYC::CS-CUST-NAME,examples/css/src/csbillcyc.pco:42; examples/css/copybooks/CSCUST.cpy:7,"Reached through a sql-fetch edge at examples/css/src/csbillcyc.pco:42. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,host-variable,var:CSCUSTINQ::CS-CUST-BALANCE,CS-CUST-BALANCE is too small for the widened value,05 CS-CUST-BALANCE PIC S9(9)V99 COMP-3,signed numeric(11.2),Change to: 05 CS-CUST-BALANCE PIC S9(11)V9(2) COMP-3.,1,CSS_CUSTOMER.CUST_BALANCE -> CSCUSTINQ::CS-CUST-BALANCE,examples/css/src/cscustinq.pco:38; examples/css/copybooks/CSCUST.cpy:14,"Reached through a sql-fetch edge at examples/css/src/cscustinq.pco:38. Current PIC holds signed numeric(9.2), but signed numeric(11.2) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,host-variable,var:CSCUSTINQ::CS-CUST-NAME,CS-CUST-NAME is too small for the widened value,05 CS-CUST-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 05 CS-CUST-NAME PIC X(40).,1,CSS_CUSTOMER.CUST_NAME -> CSCUSTINQ::CS-CUST-NAME,examples/css/src/cscustinq.pco:38; examples/css/copybooks/CSCUST.cpy:7; examples/css/src/cscustinq.pco:59,"Reached through a sql-fetch edge at examples/css/src/cscustinq.pco:38. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",reference-modification: the offset/length is hard-coded and will not follow the new width.
CRITICAL,host-variable,var:CSSVCORD::CS-CUST-NAME,CS-CUST-NAME is too small for the widened value,05 CS-CUST-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 05 CS-CUST-NAME PIC X(40).,1,CSS_CUSTOMER.CUST_NAME -> CSSVCORD::CS-CUST-NAME,examples/css/src/cssvcord.pco:26; examples/css/copybooks/CSCUST.cpy:7,"Reached through a sql-fetch edge at examples/css/src/cssvcord.pco:26. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSACCTUPD::CS-ACCT-BILL-NAME,CS-ACCT-BILL-NAME is too small for the widened value,05 CS-ACCT-BILL-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 05 CS-ACCT-BILL-NAME PIC X(40).,2,CSS_CUSTOMER.CUST_NAME -> CSACCTUPD::CS-CUST-NAME -> CSACCTUPD::CS-ACCT-BILL-NAME,examples/css/src/csacctupd.pco:41; examples/css/copybooks/CSACCT.cpy:10,"Reached through a move edge at examples/css/src/csacctupd.pco:41. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSACCTUPD::WS-AUDIT-TEXT,WS-AUDIT-TEXT is too small for the widened value,01 WS-AUDIT-TEXT PIC X(80) DISPLAY,alphanumeric(90),Change to: 01 WS-AUDIT-TEXT PIC X(90).,2,CSS_CUSTOMER.CUST_NAME -> CSACCTUPD::CS-CUST-NAME -> CSACCTUPD::WS-AUDIT-TEXT,examples/css/src/csacctupd.pco:50; examples/css/src/csacctupd.pco:15,"Reached through a string edge at examples/css/src/csacctupd.pco:50. Current PIC holds alphanumeric(80), but alphanumeric(90) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
CRITICAL,derived-variable,var:CSBILLCYC::CS-RL-NAME,CS-RL-NAME is too small for the widened value,05 CS-RL-NAME PIC X(30) DISPLAY,alphanumeric(40),Change to: 05 CS-RL-NAME PIC X(40).,2,CSS_CUSTOMER.CUST_NAME -> CSBILLCYC::CS-CUST-NAME -> CSBILLCYC::CS-RL-NAME,examples/css/src/csbillcyc.pco:59; examples/css/copybooks/CSWORK.cpy:7,"Reached through a move edge at examples/css/src/csbillcyc.pco:59. Current PIC holds alphanumeric(30), but alphanumeric(40) arrives here. COBOL truncates on the left for numerics and on the right for alphanumerics, without any runtime error.",
